NOIID,FacilityId,ComplianceId,Issue / Comment,NOIDueDate,NOIResolved,StampInit,StampDate
5564,0,4870,none,,False,sbasto,2008-10-14 15:33:04
5565,0,4871,none,,False,sbasto,2008-10-14 16:14:55
5566,0,4872,none,,False,sbasto,2008-10-15 14:09:05
5567,0,4873,,,False,gtabil,2008-10-16 14:36:37
5568,0,4874,none,,False,sbasto,2008-10-16 15:36:41
5569,0,4875,Please forward evidence that ball float valves are intact and functional.  HAR 11-281-18(d)  rcv'd 4/23/09  ssb,2008-12-15,True,sbasto,2008-10-16 16:08:56
5570,0,4876,Please provide copies of 2007 & 2008 annual maintenance reports.  HAR 11-281-51(a)(2)  r'cvd 10/31/08 ssb,2008-10-31,True,sbasto,2008-10-17 09:33:37
5571,0,4876,FYI:  Please keep annual maintnenance report on site. HAR 11-281-54(b)(3),,False,sbasto,2008-10-17 09:35:14
5572,0,4877,none,,False,sbasto,2008-10-17 15:24:13
5573,0,4878,NONE,,False,rkwan,2008-10-20 14:18:01
5574,0,4879,NONE,,False,rkwan,2008-10-20 14:21:36
5575,0,4880,NONE,,False,rkwan,2008-10-20 14:23:39
5576,0,4881,none,,False,rkwan,2008-10-20 14:27:16
5577,0,4882,none,,False,rkwan,2008-10-20 14:29:44
5578,0,4883,none,,False,rkwan,2008-10-20 14:34:17
5579,0,4884,none,,False,rkwan,2008-10-20 14:35:47
5580,0,4885,none,,False,rkwan,2008-10-20 14:39:01
5581,0,4886,none,,False,rkwan,2008-10-20 14:41:03
5582,0,4887,none,,False,rkwan,2008-10-20 14:46:38
5583,0,4888,none,,False,rkwan,2008-10-20 14:49:38
5584,0,4021,none,,False,rkwan,2008-10-20 14:49:57
5585,0,4889,none,,False,rilaga,2008-10-21 15:05:02
5586,0,4890,none,,False,rilaga,2008-10-21 15:19:52
5587,0,4891,none,,False,rilaga,2008-10-21 15:24:34
5588,0,4892,"1. Please verify overfill device on UST system 87 for operability. Replace device if necessary and send document/report to DOH by the due date. It is highly recommended to verify operability of the device before the next drop to prevent overfilling the tank.         11/4/2008 - rec service record, replaced flapper/RI",2008-11-04,True,rilaga,2008-10-21 15:49:28
5589,0,421,OTHER: 8/31/2000 received information - rk,,False,rkwan,2008-10-22 07:51:09
5590,0,420,OTHER: 8/31/2000 received information - rk,,False,rkwan,2008-10-22 07:51:55
5591,0,4893,none,,False,rilaga,2008-10-22 13:54:37
5592,0,4894,none,,False,rilaga,2008-10-22 14:25:10
5593,0,4895,none,,False,rilaga,2008-10-22 14:28:55
5594,0,4896,none,,False,sbasto,2008-10-24 14:23:51
5595,0,4897,FYI: Always monitor UST systems at least every 30 days,,False,rilaga,2008-10-24 14:30:37
5687,0,4967,none,,False,rilaga,2008-12-11 11:18:33
6015,0,210,none,,False,rkwan,2009-07-07 14:33:17
5596,0,4898,1. Pls. provide a copy of the 2007 annual maintenance/certification from your service provider. Ensure that all documents are filed/kept on site or make them available during inspections.    10/28/2008 - rec document/RI,2008-10-31,True,rilaga,2008-10-24 14:36:19
5597,0,4898,"2. FYI: Consistently print out ""liquid status"" tape from the Veeder Root at least every 30 days (twice a month is recommended)",,False,rilaga,2008-10-24 14:40:55
5598,0,4900,FYI 1) Please keep spill buckets free of leaves and debris.  HAR 11-281-18(d),,False,sbasto,2008-10-24 15:28:14
5599,0,4900,FYI 2)  Please keep a copy of current insurance policy on site.  HAR 11-281-111,,False,sbasto,2008-10-24 15:29:14
5600,0,4901,none,,False,sbasto,2008-10-28 08:32:29
5601,0,4902,FYI: Third party certs should be on site for all leak detection equipment.,,False,sbasto,2008-10-28 13:53:46
5602,0,4903,none,,False,rilaga,2008-10-31 14:44:23
5603,0,4904,none,,False,rilaga,2008-10-31 14:51:09
5604,0,4905,none,,False,rilaga,2008-10-31 14:55:29
5605,0,4906,FYI. Always update certification of financial responsibility upon receipt of your insurance policy or every time there is a change in the mechanism to cover the UST.,,False,rilaga,2008-10-31 15:06:27
5606,0,4907,1. Provide documentation (e.g. pictures) on the type of overfill equipment installed on the DSL tank. Ensure that the device is operational.     11/5/2008 - rec. pictures/RI,2008-11-05,True,rilaga,2008-11-03 10:15:25
5607,0,4907,"2. FYI: Always use remote fill instead of the drop tube on the main sump (DSL tank) when filling the tank. The main sump is NOT contained, any spill is directly diverted into the soil.",,False,rilaga,2008-11-03 10:16:23
5608,0,4908,"1. Pls adjust ""Overfill Limit"" from 95% to 90% to prevent overfilling the UST. Monitoring console currently show ""High Product Alarm"". Send printout showing the corrective action by the due date.         11/17/2008 - rec. service invoice and printout from VR/RI",2008-11-12,True,rilaga,2008-11-03 13:41:26
5609,0,4908,2. FYI: Always update certification of financial responsibility upon receipt of your insurance policy or whenever there is a change in the mechanism utilized to cover UST.,,False,rilaga,2008-11-03 13:43:29
5610,0,4908,3. FYI: Ensure that the sump cover can be easily removed/accessed for a timely response to any emergencies.,,False,rilaga,2008-11-03 13:44:45
5611,0,4909,"1. Pls. provide or send photos showing that the piping inside the generator room is not in contact with the soil, otherwise, corrosion protection needs to be installed.          11/21/2008 - photo attached via e-mail/RI",2008-11-19,True,rilaga,2008-11-07 15:36:24
5612,0,4910,none,,False,rilaga,2008-11-07 15:43:25
5613,0,4911,none,,False,rilaga,2008-11-07 15:48:16
5614,0,4912,none,,False,rilaga,2008-11-07 15:50:47
5615,0,4913,none,,False,sbasto,2008-11-10 08:36:06
5616,0,4914,Please photograph all 3 ball float valves to verify function.  HAR 11-281-18(d)  rcv'd 4/23/09  ssb,2009-01-06,True,sbasto,2008-11-10 09:59:12
5617,0,4915,none,,False,sbasto,2008-11-10 10:08:40
5618,0,4916,none,,False,rilaga,2008-11-12 15:04:15
5619,0,4917,1. Ensure that an overfill device is maintained operational for as long as the UST is underground as required by HAR 11-281-81(e)   3/3/2009 rec document that overfill installed - rk,,False,rilaga,2008-11-12 15:10:33
5620,0,4918,"1. Provide a copy of the insurance policy as required by HAR 11-281-111(b)(10)       12/8/2008 - FUP call, left a message/RI       12/16/2008 - FUP call to Shawna to remind her of the outstanding NOI/RI              12/17/2008 - rec doc from Katie Lang",2008-11-26,True,rilaga,2008-11-12 15:20:04
5621,0,4918,"2. Provide documentation proof (service record) that the water in sump has been pumped out. Also, verify why the monitoring console is not on alarm mode when water is present in the sump.   11/26/2008 rec response - rk",2008-11-26,True,rilaga,2008-11-12 15:22:29
5622,0,4919,FYI: Always maintain a copy of the certification from your service providser stating that the piping is safe suction and meeting all requirements for such design as stipulated in HAR 111-281-51(e)(2)(B)(i-v),,False,rilaga,2008-11-12 15:41:08
5623,0,4920,"1. Pls provide an explanation of the recurring L2 alarms, ""high liquid alarms"", on the system. Have a certified service provider to troubleshoot this problem. Pls attend to this matter ASAP as this may consitute a ""suspected release"".          11/7/2008 - spoke to Neil Nakai and explained the possible causes of the alarms, he'll dispatch a technician to check into this./RI     11/10/2008 - rec service records/RI",2008-11-20,True,rilaga,2008-11-12 15:48:21
5624,0,4920,"2. Pls provide an explanation why ""liquid status""  did not printout both L1 and L2 on 12/1/2008 and 10/31/2008          11/7/2008 - spoke to Neil Nakai and explained the possible causes of the alarms, he'll dispatch a technician to check into this./RI     11/10/2008 - rec service records/RI",2008-11-20,True,rilaga,2008-11-12 15:51:04
5625,0,4920,"3. FYI: Always consistently printout ""liquid status"" tape at least every 30 days and ensure to keep these records on site and available for inspection. Twice a month is recommended.",,False,rilaga,2008-11-12 15:52:34
5626,0,4921,1. Provide a copy of the certification of financial responsibility as required by HAR 11-281-111(b)(10). Always update this certification upon receipt of your insurance policy and certificate. A template was provided (blue paper)       12/16/2008 - rec 2008/2009 certification of Financial Responsibility/RI,2008-11-24,True,rilaga,2008-11-13 08:39:57
5627,0,4921,"2. Documentation proof (e.g. pictures, service record) of the type of overfill device installed. Ensure that such device is operational.       11/24/2008 - rec doc/RI",2008-11-24,True,rilaga,2008-11-13 08:41:32
5628,0,4921,"3. A copy of the annual maintenance for Ronan and annular sensors, 2008 and 2007. Always maintain these documents on site.       11/24/2008 - rec doc/RI",2008-11-24,True,rilaga,2008-11-13 08:42:50
5629,0,4921,4. A copy of the line tightness testing conducted on or after 6/16/2007. Provide appropriate technician's certification and third party certification (testing procedure)        11/24/2008 - rec copy of doc dated 6/20/2007- RI,2008-11-24,True,rilaga,2008-11-13 08:43:49
5630,0,4921,5. FYI: Reflect monitoring date at the time of actual equipment test. Dates should not be predetermined on paper.,,False,rilaga,2008-11-13 08:45:01
5631,0,4922,"1. Provide sufficient document re: annual maintenance by the due date.Please have service provider check current system set up (e.g. high product alarm, tank labell, etc.)        11/17/2008 - rec annual maintenance conducted on 11/12/2008; FC #2844 issued from the desk/RI",2008-11-20,True,rilaga,2008-11-13 09:01:32
5632,0,4922,2. Pls send updated certification of financial responsibility by the due date as required by HAR 11-281-111(b)(10). A template was provided           11/13/2008 - rec document - RI,2008-11-20,True,rilaga,2008-11-13 09:02:52
5795,0,5052,none,,False,sbasto,2009-03-02 14:41:10
5633,0,4897,"1. Provide proof that the ALLD installed on UST 87 is compatible with the product.        11/7/2008 - rec doc., ALLD replaced with a new ALLD/RI",,True,rilaga,2008-11-13 09:28:45
5634,0,4923,none,,False,sbasto,2008-11-13 15:51:21
5635,0,4924,none,,False,sbasto,2008-11-13 16:05:20
5636,0,4925,none,,False,sbasto,2008-11-13 16:15:58
5637,0,4926,none,,False,sbasto,2008-11-14 14:07:17
5638,0,4927,none,,False,sbasto,2008-11-14 16:14:00
5639,0,4928,"FYI: Alarms reported on ""Liquid Status"" should be followed by a service call.  Unresolved alarms should be reported to DOH as ""suspected release"".",,False,sbasto,2008-11-17 14:55:39
5640,0,4929,none,,False,rilaga,2008-11-18 10:27:22
5641,0,4930,none,,False,sbasto,2008-11-24 09:03:21
5642,0,4931,none,,False,sbasto,2008-11-24 09:42:47
5643,0,4932,1. Please provide a copy of the CP re-survey conducted on or before 3/1/08           12/1/2008 - rec docs/RI,2008-12-04,True,rilaga,2008-11-24 11:09:05
5644,0,4933,none,,False,rilaga,2008-11-24 11:21:34
5645,0,4934,none,,False,rilaga,2008-11-24 11:30:25
5646,0,4935,none,,False,rilaga,2008-11-24 11:44:46
5647,0,4936,none,,False,rilaga,2008-11-24 11:54:45
5648,0,4937,1. Please replace indicator power bulb on the monitoring console and send decumentation to DOH.              12/19/2008 - rec document/RI,2008-12-03,True,rilaga,2008-11-24 14:49:23
5649,0,4937,2. FYI: Ensure that steel portion of the piping (UST 87) is not in contact with the ground or water to prevent corrosion as required by HAR 11-281-13,,False,rilaga,2008-11-24 14:50:26
5650,0,4937,3. FYI: Always check test results on all USTs at least every 30 days.,,False,rilaga,2008-11-24 14:51:27
5651,0,4938,none,,False,sbasto,2008-11-28 08:52:40
5652,0,4939,none,,False,sbasto,2008-11-28 09:00:30
5653,0,4940,none,,False,sbasto,2008-11-28 09:08:32
5654,0,4941,Replace spill bucket liner on diesel spill bucket. Forward photo of compliant liner to DOH.  HAR 11-281-18(d)  rcvd photos 3/5/09 ssb,2009-03-05,True,sbasto,2008-12-04 16:10:33
5655,0,4941,FYI 1 - Annual maintenance reports must be kept on site.  HAR 11-281-51(A)(2),,False,sbasto,2008-12-04 16:12:13
5656,0,4941,FYI 2 - Leak detection monitoring must be done at least every 30 days  HAR 11-281-51(e)(1),,False,sbasto,2008-12-04 16:13:36
5657,0,4942,none,,False,sbasto,2008-12-05 14:03:27
5658,0,4943,none,,False,sbasto,2008-12-05 14:08:09
5659,0,4944,FYI: Financial assurance documents must be kept on site. HAR 11-281-111,,False,sbasto,2008-12-05 14:15:44
5660,0,4945,1. Pls provide proofs that VR TLS 350 manual and appropriate third party certification for all release detection equipments currently installed are maintained on site as required by HAR 11-281-54(b)(5) and (1)         12/16/2008 - rec first page of 4 ocuments/RI,2008-12-12,True,rilaga,2008-12-08 09:04:18
5661,0,4945,"2. FYI: Always maintain a copy of the following on site: (a) VR TLS manual  (b) third party certifications on ATG, liquid sensors and VR PLLDs.",,False,rilaga,2008-12-08 09:07:18
5662,0,4945,3. FYI: Always maintain records of repair on site and ready for inspection.,,False,rilaga,2008-12-08 09:08:31
5663,0,4946,1. Pls. reposition sump sensors (UST 87 and 92) to the lowest point of the sump and provide documentation (e.g. pictures)  to DOH by the due date.        7/23/2009 - rec.doc/RI,2008-12-12,True,rilaga,2008-12-08 09:20:04
5664,0,4946,2. Pls. pump out water in piping sumps and provide documentation proof (e.g. pictures)  to DOH by the due date.          7/23/2009 - rec.doc/RI,2008-12-12,True,rilaga,2008-12-08 09:21:38
5665,0,4947,,,False,gtabil,2008-12-08 09:34:13
5666,0,4948,,,False,gtabil,2008-12-08 09:57:24
5667,0,4949,,,False,gtabil,2008-12-08 10:27:43
5668,0,4950,"FYI: In future inspections, ensure that records of 30-day monitoring are maintained on site.",,False,rilaga,2008-12-08 11:08:40
5669,0,4951,,,False,gtabil,2008-12-08 14:30:30
5670,0,4952,,,False,gtabil,2008-12-08 14:43:38
5671,0,4953,,,False,gtabil,2008-12-08 15:00:17
5672,0,4954,FYI: Pls monitor UST system at least every 30 days and keep/maintain records on site as required by HAR 11-281-54(b)(2),,False,rilaga,2008-12-08 15:10:03
5673,0,4955,FYI: Leak Detection annual maintenance inspection must be conducted at least every 12 months.  HAR 11-281-51(a)(2),,False,sbasto,2008-12-08 15:24:50
5674,0,4956,Please forward docs of financial assurance to DOH office.  HAR 11-281-111 rcv'd 1-15-09 ssb,2009-01-08,True,sbasto,2008-12-09 08:00:03
5675,0,4957,FYI. Please provide copy of Corrosion Protection Survey report for Nov 2008 within 30 days. Rec'd CP Survey Report 12/10/2008-GT,2009-01-03,True,gtabil,2008-12-09 09:44:08
5676,0,4958,,,False,gtabil,2008-12-09 09:56:29
5677,0,4959,"FYI: Please check with DL Downing, Les Kay, to reprogrammed overfill Limt to 90% and  High product to 95% on the TLS 300 Set-up.",,False,gtabil,2008-12-09 14:16:47
5678,0,4960,FYI: Ensure that all service records in response to alarms are maintained on site.,,False,rilaga,2008-12-09 15:29:29
5679,0,4961,"FYI: In future inspections, please have records of 30-day monitoring available and maintained on site as required by HAR 11-281-54(b)(2)",,False,rilaga,2008-12-09 15:39:08
5680,0,4962,,,False,gtabil,2008-12-10 08:50:51
5681,0,4963,FYI: Please follow-up on the in tank set-up regarding overfill limit 95% and High product 98% to be set on 90% and 95% respectively.,,False,gtabil,2008-12-10 09:15:40
5682,0,4964,"NOI. Please provide copy of your insurance policy within 30 days. Due on Jan. 2, 2009   12/24/2008 rec fr and cp  doc  - rk",2009-01-02,True,gtabil,2008-12-10 10:17:58
5683,0,4965,"1.)  Please provide copy of the annual maint test for 2007 & 2008, (2) corrosion protecton initial installation date, and (3) copy of SIR manual wtihin 30 days.",2009-01-05,False,gtabil,2008-12-10 10:56:32
5684,0,4966,"1. Please replace spill bucket on UST system 92 before the next drop. Crackings on the spill bucket were noted during the inspection. Ensure that a release due to spilling or overfilling did not occur as required by HAR 11-281-41(a). Please investigate possible soil contamination, report and clean up any spills and overfills in accordance with section 11-281-64. Send documentations by due date.              12/10/2008 - FUP status via e-mail; per Norm's e-mail, it hasn't been addressed yet/RI            12/11/2008 - informed him, via e-mail, to addressed issue ASAP. He's currently in Honolulu, and will try to test spill bucket integrity today./RI      12/30/2008 - rec resolution via e-mail/RI      1/19/2009 - rec doc. of no contamination/RI",2008-12-10,True,rilaga,2008-12-11 10:41:55
5685,0,4966,"2. FYI: In future inspections, please have records of 30-day monitoring available and maintained on site as required by HAR 11-281-54(b)(2)",,False,rilaga,2008-12-11 10:48:01
5688,0,4968,"1. Please send to DOH a copy of the service invoice and service record in response to the 4/6/2008 ""reservoir lo-level"" alarm by the due date     12/16/2008 - rec doc/RI",2008-12-16,True,rilaga,2008-12-12 15:11:16
5689,0,4969,none,,False,sbasto,2008-12-12 15:14:53
5690,0,4970,none,,False,sbasto,2008-12-12 15:21:48
5691,0,4971,none,,False,rilaga,2008-12-12 15:23:30
5692,0,4972,none,,False,sbasto,2008-12-12 15:25:36
5693,0,4973,none,,False,sbasto,2008-12-12 15:28:57
5694,0,4974,none,,False,sbasto,2008-12-12 15:35:21
5695,0,4975,none,,False,rilaga,2008-12-12 15:46:37
5696,0,4976,none,,False,sbasto,2008-12-12 15:51:00
5697,0,4977,FYI 1. Please maintain copies of 30-day monitoring records on site at least every 30 days as required by HAR 11-281-54(b)(2),,False,rilaga,2008-12-16 08:54:45
5698,0,4977,FYI 2. Please ensure that all events are noted on the manual/visual monitoring log being conducted on site.,,False,rilaga,2008-12-16 08:55:49
5699,0,4978,FYI: Please maintain records of 30-day monitoring on site at least every 30 days as required by HAR 11-281-54(b)(2),,False,rilaga,2008-12-16 09:40:46
5700,0,4979,Please forward photographic documentation fo overfill device for DF-1 100 gal diesel tank.  Rcv'd 1/15/09 ssb,2009-02-08,True,sbasto,2009-01-08 14:43:32
5701,0,4980,FYI: Annual Maintenance must be done every 12 months or sooner. HAR 11-281-51(a)(2),,False,sbasto,2009-01-09 08:20:17
5702,0,4981,none,,False,sbasto,2009-01-09 09:01:37
5703,0,4982,none,,False,sbasto,2009-01-09 09:36:42
5704,0,4983,NOI 1.  Forward Insurance Certificate to DOH office.  HAR 11-281-98(b)(2)  1/12/2009 rec - rk,2009-02-05,True,sbasto,2009-01-09 10:09:48
5705,0,4983,NOI 2: Forward Certification of Financial Responsibiliy to DOH office.  HAR 11-281-111(b)(10) - 1/12/2009 rec - rk,2009-02-05,True,sbasto,2009-01-09 10:11:44
5706,0,4983,FYI: Leak detection monitoring must be recorded at least every 30 days.  HAR 11-281-51(e)(1),2009-02-05,False,sbasto,2009-01-09 10:13:26
5707,0,4984,none,,False,rilaga,2009-01-09 15:21:19
5708,0,4985,none,,False,rilaga,2009-01-09 15:48:11
5709,0,4986,none,,False,rilaga,2009-01-09 15:54:27
5710,0,4987,Please forward all docs of financial assurance to DOH.,2009-01-12,True,sbasto,2009-01-12 13:59:11
5711,0,4988,none,,False,sbasto,2009-01-12 15:52:53
5712,0,4989,,,False,gtabil,2009-01-13 08:57:18
5713,0,4990,NONE,,False,gtabil,2009-01-13 09:03:09
5714,0,4991,NONE,,False,gtabil,2009-01-13 09:15:51
5715,0,4992,NONE,,False,gtabil,2009-01-13 09:27:09
5716,0,4993,NONE,,False,gtabil,2009-01-13 09:34:17
5717,0,4994,NONE,,False,gtabil,2009-01-13 09:41:09
5718,0,4995,NONE,,False,gtabil,2009-01-13 10:18:08
5719,0,4996,NONE,,False,gtabil,2009-01-13 10:31:41
5720,0,4997,,,False,sbasto,2009-01-13 10:36:56
5721,0,4998,FYI: Insurance policy should be on-site  HAR 11-281-111,,False,sbasto,2009-01-13 11:08:35
5722,0,4999,none,,False,sbasto,2009-01-14 13:42:59
5723,0,5000,FYI: PLEASE REMOVE SOIL THAT COVER PART OF THE METAL PIPES,,True,gtabil,2009-01-15 08:29:52
5724,0,5001,NONE,,False,gtabil,2009-01-15 08:46:26
5725,0,5002,"FYI: Ins. Policy, Certificate of ins, and the financial resp letter will be faxed by 01/15/09",2009-01-15,True,gtabil,2009-01-15 08:53:49
5726,0,5003,NONE,,False,gtabil,2009-01-15 14:30:29
5727,0,5004,none,,False,rilaga,2009-01-20 09:16:00
5728,0,5005,1. Please attend to the on-going alarm on the Ronan series X76S Leak Detector Monitor. Provide DOH documentation showing this alarm is resolved.       1/23/2009 - rec document explaining resolution of the alarm/RI,2009-01-27,True,rilaga,2009-01-20 09:19:11
5729,0,5006,FYI: Ensure that sump sensors are positioned at the lowest point in the sump.,,False,rilaga,2009-01-20 09:34:47
5730,0,5007,none,,False,rilaga,2009-01-20 10:08:50
5731,0,5008,"1. Provide a document showing that UST 1 was monitored from March 1-30, 2008       1/20/2009 - rec. document/RI",2009-01-22,True,rilaga,2009-01-20 10:50:58
5732,0,5008,2. FYI: Ensure that the indicator bulbs on the monitoring console are operational all the times.,,False,rilaga,2009-01-20 10:51:41
5733,0,5009,"1. Provide document showing responses to the following L1 alarms: 2/3/20008-2/14/2008, 3/22/2008-3/24/2008, 4/3, 4/7, 4/10/2008           1/20/2009 - rec document/RI",2009-01-22,True,rilaga,2009-01-20 11:06:50
5734,0,5010,"1. Provide a document re:functionality test (""out-of-the-box test"") for ALLD (serial #0484) on UST 89. Actual report reflects FX1V (9546), currently, FX1V (0484) ALLD is installed on UST 89.      1/23/2009 - rec functionality test conducted on 1/19/09 - RI    3/5/2009 received - rk",2009-01-22,True,rilaga,2009-01-20 13:58:39
5735,0,5010,"2. FYI: Ensure that the ""overfill alarm"" signage is posted at all times to be in compliance with HAR.",,False,rilaga,2009-01-20 14:01:25
5736,0,5010,3. FYI: Ensure that indicator bulb (power) is always operational.,,False,rilaga,2009-01-20 14:02:04
5737,0,5011,none,,False,sbasto,2009-01-20 14:22:55
5738,0,5012,none,,False,sbasto,2009-01-20 14:34:37
5739,0,5013,none,,False,sbasto,2009-01-20 15:25:28
5740,0,5014,,,False,gtabil,2009-01-22 10:56:33
5741,0,5015,FYI 1: Wiring box for sump sensor is missing cover. Needs to be water tight.,,False,sbasto,2009-01-23 15:40:45
5742,0,5016,none,,False,sbasto,2009-01-23 16:04:49
5743,0,5015,FYI 2: Spill bucket should be kept clean & dry.,,False,sbasto,2009-01-26 08:18:24
5744,0,5017,"PLEASE SEND APPENDIX 1 ASAP, RE: CHANGE OF PRODUCT FROM 89 TO 87 ON ONE OF THE TANK.",,False,gtabil,2009-01-26 09:32:10
5745,0,5018,NONE,,False,gtabil,2009-01-26 09:40:14
5746,0,5019,1.) Please forward to DOH Office current Insurance Certificate HAR 11-281-98(b)(2)  rcv'd 1/27/09 ssb,2009-02-05,True,sbasto,2009-01-27 15:41:28
5747,0,5019,2.) Please forward to DOH office current Certification of Financial Responsibility  HAR 11-281-111(b)(2)  rcv'd 1/27/09 ssb,2009-02-05,True,sbasto,2009-01-27 15:42:34
5748,0,5020,none,,False,sbasto,2009-01-27 16:11:56
5749,0,5021,none,,False,sbasto,2009-01-28 08:03:07
5750,0,5022,FYI: Pls. replace power indicator bulb on the VR TLS 300C,,False,rilaga,2009-01-29 14:28:02
5751,0,5023,"Please forward to DOH, work invoice showing repair of gasoline line. R.cvd 7/19/09 /ssb",,True,sbasto,2009-01-29 14:39:58
5752,0,5024,none,,False,rilaga,2009-01-29 14:40:47
5753,0,5025,"FYI: Pls. replace ""alarm"" and""warning"" indicator bulbs on the monitoring panel TLS 300C",,False,rilaga,2009-01-29 14:46:36
5903,0,5132,5. FYI: Always print .2gph test at least every 30 days,,False,rilaga,2009-05-05 15:19:57
5754,0,5026,1. Pls. provide an updated copy of the certification of financial responsibility as required by HAR 11-281-111(b)(10)      1/27/2009 - rec doc/RI  1/30/2009 rec documents - rk,2009-01-28,True,rilaga,2009-01-30 08:35:10
5755,0,5027,FYI: Always keep a copy of the insurance policy on site or make it available during inspection.,,False,rilaga,2009-01-30 10:26:59
5756,0,5028,1. Pls send a corrected insurance certificate reflecting the exact verbage/language in HAR 11-281-98(b)(2) OR       2/17/2009 - rec insurance certificate/RI,2009-02-10,True,rilaga,2009-01-30 11:38:36
5757,0,5028,2. A corrected performance bond reflecting the exact verbage in HAR 11-281-99(b)     2/17/2009 - rec insurance certificate/RI,2009-02-10,True,rilaga,2009-01-30 11:39:47
5758,0,5028,3. FYI: Pls verify operability of the ball float in the next annual maintenance (or before 8/25/2009),,False,rilaga,2009-01-30 11:40:35
5759,0,5029,1. Please send updated copy of Appendix 1 reflecting UST 92 as temporarily closed as soon as possible.      1/28/2009 - rec Appendix 1/RI  2/5/09 rec appendix i showing ust is back into use - rk,,True,rilaga,2009-01-30 14:07:10
5760,0,5029,2. FYI: Please provide all documents relevant to the on-going problem with UST 92 upon its resolution.,,False,rilaga,2009-01-30 14:09:05
5761,0,5030,NONE,,False,gtabil,2009-01-30 15:38:33
5762,0,5031,"1. Please provide a copy of the service record in response to L2 ""Fuel Alarm"" on 3/20/2008 as required by HAR 11-281-554(b)(3)       2/4/2009 - rec doc/RI",2009-02-04,True,rilaga,2009-02-04 14:57:38
5763,0,5031,2. FYI: Always keep UST-related documents on site.,,False,rilaga,2009-02-04 14:59:49
5764,0,5032,"1. Pls. send a copy of the service record in response to L6:87 annular ""sensor out alarm"" and ""fuel alarm"" on 12/24/2008 and 12/17/2009, respectively. As required in HAR 11-281-54(b)(3), all records of …repair… must be kept/maintained for at least  one year on site.  2/12/2009 rec response - rk",2009-02-18,True,rilaga,2009-02-04 15:11:40
5765,0,5032,"2. FYI: Owner/operator must monitor for releases at least every 30 days per HAR 11-281-51(e)(1) and pursuant to HAR 11-281-54, records must be maintained in acccordance with HAR 11-281-45(d), which states, ""all documents…be made available for inspection by the department by …being maintained at the UST site…",,False,rilaga,2009-02-04 15:14:21
5766,0,5033,"FYI: Leak detection monitoring must be performed at least every 30 days. HAR 11-281-51(e)(1), HAR 11-281-51(e)(2)(A)(ii)",,False,sbasto,2009-02-05 13:03:34
5767,0,5034,none,,False,rilaga,2009-02-05 13:53:07
5768,0,5035,none,,False,rilaga,2009-02-05 13:57:11
5769,0,5036,none,,False,sbasto,2009-02-06 11:47:26
5770,0,5037,none,,False,sbasto,2009-02-06 15:07:20
5771,0,2874,tanks removed in 9/15/2004 - rk,,False,rkwan,2009-02-11 14:09:21
5772,0,5038,none,,False,rilaga,2009-02-17 09:02:12
5773,0,5039,none,,False,rilaga,2009-02-17 09:04:51
5774,0,5040,none,,False,rilaga,2009-02-17 09:08:39
5775,0,5041,none,,False,rilaga,2009-02-17 09:10:21
5776,0,5042,FYI: Replacing the rusted metal cover for the piping sump is highly recommended for easier access during emergency situation.,,False,rilaga,2009-02-17 09:12:55
5777,0,5043,FYI: Ensure that 30-day monitoring tapes are maintained on site.,,False,rilaga,2009-02-17 09:58:28
5778,0,5044,none,,False,rilaga,2009-02-17 10:07:01
5779,0,5045,1. Pls. send a copy of the insurance certificate following the HAR language        2/13/2009 - rec doc./RI,2009-02-19,True,rilaga,2009-02-17 10:15:16
5780,0,5045,2. A copy of the insurance policy       2/13/2009 - rec doc./RI,2009-02-19,True,rilaga,2009-02-17 10:16:00
5781,0,5045,3. A copy of Appendix 1 reflecting change of ownership       2/13/2009 - rec doc./RI,2009-02-19,True,rilaga,2009-02-17 10:16:17
5782,0,5045,4. A service record showing that the power indicator bulb on the monitoring panel has been replaced.       2/13/2009 - rec doc./RI,2009-02-19,True,rilaga,2009-02-17 10:17:05
5783,0,5045,5. FYI: Always maintain documents pertaining to the UST system on site,,False,rilaga,2009-02-17 10:17:45
5784,0,5046,"1. FYI: Currently, the facility is out of compliance for not having a valid release detection method for UST #2 (Diesel). Ensure that this problem is resolved ASAP. A letter dated 1/29/09 was sent to the facility outlining what the regulation (HAR) requires. A written report must be provided to DOH describing the progress being made in regards to the replacement of the monitoring system.                  2/23/2009 - rec an update report, contractor inspection to prep procurement for bidding/RI",,False,rilaga,2009-02-17 11:33:13
5785,0,5046,2. FYI: Ensure that the annual maintenance/functionalitytest/line tightness test is conducted at least every 12 months to be in compliance with the regulation. A citation maybe issued.,,False,rilaga,2009-02-17 11:36:29
5786,0,5047,"1. Please provide an updated copy of the financial responsibility mechanism (LGBRT) utilized to reflect the most recent (within 12 months) bond rating test from Standard and Poor's as required in HAR 11-281-103(d)       2/13/2009 - discussed with Rox, FR is in place/RI",2009-02-25,True,rilaga,2009-02-17 14:07:04
5787,0,5047,"2. Provide a copy of the bond rating published within the last 12 months by Moody's or Standard and Poor's as required by HAR 11-281-111(b)(5) and HAR 11-281-103(c)         2/13/2009 - discussed with Rox, FR is in place/RI",2009-02-25,True,rilaga,2009-02-17 14:09:13
5788,0,5047,3. Send an Appendix 1 reflecting the UST on a temporarily-out-of-use status as required in HAR 11-281 subchapter 8.         2/19/2009 - rec Appendix 1/RI,2009-02-25,True,rilaga,2009-02-17 14:11:46
